region,småvilt,statistikkvariabel,intervall (år),value
Hele landet,I alt,Felte småvilt,2023-2024,298920.0
Hele landet,Storfugl,Felte småvilt,2023-2024,5920.0
Hele landet,Orrfugl,Felte småvilt,2023-2024,11960.0
Hele landet,Lirype,Felte småvilt,2023-2024,80290.0
Hele landet,Fjellrype,Felte småvilt,2023-2024,39320.0
Hele landet,Jerpe,Felte småvilt,2023-2024,1160.0
Hele landet,Ringdue,Felte småvilt,2023-2024,26730.0
Hele landet,Ravn,Felte småvilt,2023-2024,4510.0
Hele landet,Kråke,Felte småvilt,2023-2024,27750.0
Hele landet,Skjære,Felte småvilt,2023-2024,13980.0
Hele landet,Nøtteskrike,Felte småvilt,2023-2024,3990.0
Hele landet,Gråtrost,Felte småvilt,2023-2024,1910.0
Hele landet,Fasan,Felte småvilt,2023-2024,50.0
Hele landet,Rugde,Felte småvilt,2023-2024,2150.0
Hele landet,Enkeltbekkasin,Felte småvilt,2023-2024,150.0
Hele landet,Stokkand,Felte småvilt,2023-2024,7080.0
Hele landet,Krikkand,Felte småvilt,2023-2024,1200.0
Hele landet,Brunnakke,Felte småvilt,2023-2024,910.0
Hele landet,Kvinand,Felte småvilt,2023-2024,1040.0
Hele landet,Siland,Felte småvilt,2023-2024,720.0
Hele landet,Toppand,Felte småvilt,2023-2024,200.0
Hele landet,Ærfugl,Felte småvilt,2023-2024,800.0
Hele landet,Laksand,Felte småvilt,2023-2024,340.0
Hele landet,Svartand,Felte småvilt,2023-2024,510.0
Hele landet,Knoppand/moskusand,Felte småvilt,2023-2024,0.0
Hele landet,Mandarinand,Felte småvilt,2023-2024,
Hele landet,Stivhaleand,Felte småvilt,2023-2024,0.0
Hele landet,Grågås,Felte småvilt,2023-2024,13300.0
Hele landet,Kanadagås,Felte småvilt,2023-2024,2680.0
Hele landet,Kortnebbgås,Felte småvilt,2023-2024,3430.0
Hele landet,Stripegås,Felte småvilt,2023-2024,10.0
Hele landet,Toppskarv,Felte småvilt,2023-2024,290.0
Hele landet,Storskarv,Felte småvilt,2023-2024,2640.0
Hele landet,Bever,Felte småvilt,2023-2024,1440.0
Hele landet,Bisam,Felte småvilt,2023-2024,10.0
Hele landet,Hare,Felte småvilt,2023-2024,11200.0
Hele landet,Sørhare,Felte småvilt,2023-2024,370.0
Hele landet,Viltlevende kanin,Felte småvilt,2023-2024,
Hele landet,Ekorn,Felte småvilt,2023-2024,970.0
Hele landet,Rødrev,Felte småvilt,2023-2024,18290.0
Hele landet,Grevling,Felte småvilt,2023-2024,2400.0
Hele landet,Villmink,Felte småvilt,2023-2024,3830.0
Hele landet,Mår,Felte småvilt,2023-2024,4020.0
Hele landet,Mårhund,Felte småvilt,2023-2024,0.0
Hele landet,Vaskebjørn,Felte småvilt,2023-2024,0.0
